company_id,type,rule_id,text,confidence_pct,company_name
ABB,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,92,Abbott India Ltd
ABB,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,100,Abbott India Ltd
ABB,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,86,Abbott India Ltd
ADANIENSOL,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,85,Adani Energy Solutions Ltd
ADANIENSOL,con,CON_01,Debt-to-equity ratio of 2.93 is elevated for a non-financial company and warrants monitoring.,93,Adani Energy Solutions Ltd
ADANIENSOL,con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure.,85,Adani Energy Solutions Ltd
ADANIENSOL,con,CON_09,Earnings per share declining for 3 consecutive years reflects deteriorating profitability.,90,Adani Energy Solutions Ltd
ADANIENT,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality.,85,Adani Enterprises Ltd
ADANIENT,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,100,Adani Enterprises Ltd
ADANIGREEN,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,100,Adani Green Energy Ltd
ADANIGREEN,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,100,Adani Green Energy Ltd
ADANIGREEN,con,CON_01,Debt-to-equity ratio of 6.60 is elevated for a non-financial company and warrants monitoring.,100,Adani Green Energy Ltd
ADANIPORTS,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,100,"Adani Ports & Special Economic Zone Ltd
"
ADANIPORTS,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,86,"Adani Ports & Special Economic Zone Ltd
"
ADANIPOWER,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,97,Adani Power Ltd
ADANIPOWER,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,100,Adani Power Ltd
ADANIPOWER,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,91,Adani Power Ltd
ADANIPOWER,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality.,85,Adani Power Ltd
ADANIPOWER,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,100,Adani Power Ltd
ADANIPOWER,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth.,90,Adani Power Ltd
AMBUJACEM,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,91,Ambuja Cements Ltd
AMBUJACEM,con,CON_05,Revenue contraction over 2 consecutive years indicates demand weakness or market share loss.,85,Ambuja Cements Ltd
APOLLOHOSP,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,86,"Apollo Hospitals
Chain of Indian private hospitals"
APOLLOHOSP,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow.,90,"Apollo Hospitals
Chain of Indian private hospitals"
APOLLOHOSP,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,100,"Apollo Hospitals
Chain of Indian private hospitals"
ASIANPAINT,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,89,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company"
ASIANPAINT,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,90,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company"
ASIANPAINT,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,93,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company"
ASIANPAINT,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow.,87,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company"
